City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bambous virieux,-20.3428,57.7575,79.21,73,48,14.61,MU,1634976532
oksovskiy,62.6062,39.8984,33.24,90,100,9.26,RU,1634976533
albany,42.6001,-73.9662,41.04,85,75,3.62,US,1634976355
buchanan,5.8808,-10.0467,75.16,87,58,4.54,LR,1634976535
cabo san lucas,22.8909,-109.9124,77.5,76,6,13.31,MX,1634976507
yerbogachen,61.2767,108.0108,40.28,78,100,12.57,RU,1634976537
broome,42.2506,-75.833,41.56,86,1,1.99,US,1634976538
new norfolk,-42.7826,147.0587,53.65,86,100,3.24,AU,1634976539
dzhebariki-khaya,62.2167,135.8,22.17,97,100,3.22,RU,1634976540
vardo,70.3705,31.1107,34.41,65,99,15.68,NO,1634976540
saint-philippe,-21.3585,55.7679,86.49,82,48,12.91,RE,1634976541
saskylakh,71.9167,114.0833,-9.29,100,99,5.12,RU,1634976542
hilo,19.7297,-155.09,73.13,92,90,8.05,US,1634976445
kyzyl-suu,42.3414,78.0056,38.71,66,63,4.65,KG,1634976544
cidreira,-30.1811,-50.2056,63.18,88,1,9.73,BR,1634976545
pochutla,15.7432,-96.4661,73.81,82,100,3.13,MX,1634976546
port alfred,-33.5906,26.891,75.27,39,74,22.91,ZA,1634976547
lasa,46.6166,10.7002,46.02,39,1,1.54,IT,1634976547
jamestown,42.097,-79.2353,44.29,91,90,1.99,US,1634976548
cabedelo,-6.9811,-34.8339,75.87,79,24,9.8,BR,1634976549
rikitea,-23.1203,-134.9692,73.89,86,17,21.05,PF,1634976550
vrangel,42.7297,133.0839,52.18,55,0,14.34,RU,1634976551
faya,18.3851,42.4509,70.32,14,23,7.83,SA,1634976552
daru,-9.0763,143.2092,81.05,72,88,14.65,PG,1634976553
tsaratanana,-16.7833,47.65,94.93,28,47,6.71,MG,1634976554
los llanos de aridane,28.6585,-17.9182,64.15,82,75,3,ES,1634976555
murgab,37.4966,61.9714,64.27,34,0,9.22,TM,1634976555
nagua,19.3832,-69.8474,77.45,88,21,6.29,DO,1634976556
yenagoa,4.9247,6.2642,73.72,96,100,3.04,NG,1634976558
kavieng,-2.5744,150.7967,84.13,73,30,13.44,PG,1634976558
tuktoyaktuk,69.4541,-133.0374,30.13,95,71,10.8,CA,1634976559
mahebourg,-20.4081,57.7,79.25,72,31,15.1,MU,1634976560
miandoab,36.9694,46.1027,62.47,32,0,2.55,IR,1634976562
bukoba,-1.3317,31.8122,75.65,60,80,4,TZ,1634976562
greenwood,34.1668,-82.1165,55.09,47,1,3.44,US,1634976563
semey,50.4111,80.2275,48.42,43,75,22.37,KZ,1634976564
ust-tsilma,65.441,52.1498,31.17,84,100,7.96,RU,1634976565
nanortalik,60.1432,-45.2371,37.13,98,100,10.2,GL,1634976566
leningradskiy,69.3833,178.4167,2.23,88,68,8.5,RU,1634976567
katsuura,35.1333,140.3,64.18,51,0,11.68,JP,1634976568
pio xii,-3.8325,-45.1525,74.07,97,100,1.23,BR,1634976569
bud,39.447,-86.1758,50.22,95,35,5.93,US,1634976570
oeiras do para,-2.0031,-49.8544,74.01,93,100,1.59,BR,1634976571
cherskiy,68.75,161.3,0.01,99,100,2.82,RU,1634976572
barrow,71.2906,-156.7887,28.42,80,90,11.5,US,1634976572
kaitangata,-46.2817,169.8464,49.82,95,86,5.97,NZ,1634976573
bandarbeyla,9.4942,50.8122,82.58,61,7,10.18,SO,1634976574
saint-augustin,51.226,-58.6502,41.34,80,100,18.75,CA,1634976575
zambezi,-13.5432,23.1047,88.86,36,38,4.21,ZM,1634976576
saint george,37.1041,-113.5841,64.94,28,1,1.99,US,1634976521
launceston,-41.45,147.1667,51.62,92,90,4,AU,1634976460
susehri,40.1644,38.0867,61.11,31,0,0.11,TR,1634976578
touros,-5.1989,-35.4608,79.7,77,100,10.63,BR,1634976578
solnechnyy,50.7214,136.6319,34.25,90,16,3.69,RU,1634976580
amapa,1,-52,70.03,99,100,0.27,BR,1634976581
adrar,20.5022,-10.0711,72.28,22,51,7.16,MR,1634976581
deputatskiy,69.3,139.9,-3.23,99,98,1.63,RU,1634976582
ayan,56.45,138.1667,39.63,65,81,10.83,RU,1634976583
tessalit,20.1986,1.0114,84.58,19,0,7.31,ML,1634976584
oktyabrskiy,54.4815,53.471,54.48,55,1,17.63,RU,1634976585
krasnoselkup,65.7,82.4667,31.51,95,99,14.5,RU,1634976586
namibe,-15.1961,12.1522,74.23,47,72,10.96,AO,1634976586
mar del plata,-38.0023,-57.5575,53.1,92,77,1.01,AR,1634976587
westport,41.1415,-73.3579,56.32,67,90,5.99,US,1634976588
lincoln,40.8,-96.667,42.87,81,1,1.01,US,1634976365
portland,45.5234,-122.6762,53.83,91,90,8.99,US,1634976425
karratha,-20.7377,116.8463,91.62,26,0,14.52,AU,1634976591
lavrentiya,65.5833,-171,25.39,83,100,12.08,RU,1634976592
cotonou,6.3654,2.4183,79.68,80,100,3.18,BJ,1634976456
napasar,27.9667,73.55,87.55,38,0,15.59,IN,1634976593
sarichioi,44.95,28.85,59.16,67,0,16.11,RO,1634976594
visby,57.6409,18.296,41.22,75,75,20.71,SE,1634976595
goderich,43.7501,-81.7165,39.9,71,98,4.07,CA,1634976596
port hardy,50.6996,-127.4199,47.48,84,100,10.47,CA,1634976597
victoria,22.2855,114.1577,74.25,75,36,8.99,HK,1634976509
puri,19.8,85.85,90.12,46,6,4.32,IN,1634976560
punta arenas,-53.15,-70.9167,37.51,70,0,28.77,CL,1634976599
kodiak,57.79,-152.4072,41.13,80,85,8.7,US,1634976600
rawson,-43.3002,-65.1023,55.81,34,100,32.08,AR,1634976364
clyde river,70.4692,-68.5914,22.03,93,100,5.19,CA,1634976604
broken hill,-31.95,141.4333,69.94,25,0,18.68,AU,1634976605
geraldton,-28.7667,114.6,77.41,44,27,19.57,AU,1634976606
lundazi,-12.2929,33.1782,92.14,22,0,5.53,ZM,1634976606
kahului,20.8947,-156.47,76.84,84,20,13.8,US,1634976607
margate,51.3813,1.3862,51.04,90,58,7.18,GB,1634976609
narsaq,60.9167,-46.05,35.82,97,99,5.66,GL,1634976610
winneba,5.3511,-0.6231,76.44,90,100,4.68,GH,1634976610
tasiilaq,65.6145,-37.6368,30.36,93,100,7.94,GL,1634976611
fairbanks,64.8378,-147.7164,31.6,88,1,0,US,1634976551
port blair,11.6667,92.75,79.21,79,100,5.64,IN,1634976613
kailua,21.4022,-157.7394,78.78,73,40,11.5,US,1634976613
aksarka,66.5606,67.7975,29.93,97,100,7.72,RU,1634976614
yazd,31.8972,54.3675,68.11,21,0,2.3,IR,1634976615
sola,-13.8833,167.55,81.39,76,87,14.56,VU,1634976616
valleyview,55.0667,-117.2859,39.42,73,100,4.25,CA,1634976617
georgetown,5.4112,100.3354,87.89,73,20,8.05,MY,1634976617
cobija,-11.0267,-68.7692,74.32,81,100,2.8,BO,1634976618
lagoa,39.05,-27.9833,67.24,73,0,11.01,PT,1634976619
constitucion,-35.3333,-72.4167,46.44,81,0,8.63,CL,1634976356
east millcreek,40.7,-111.8105,57.15,32,75,6.91,US,1634976622
atar,20.5169,-13.0499,77,21,37,6.4,MR,1634976623
viedma,-40.8135,-62.9967,45.81,85,67,11.3,AR,1634976624
abu zabad,12.35,29.25,92.03,33,50,4.88,SD,1634976625
toktogul,41.8708,72.9402,45.93,45,5,1.32,KG,1634976626
isla vista,34.4133,-119.861,63.34,86,75,3.44,US,1634976627
vredendal,-31.6683,18.5012,64.36,55,9,17.34,ZA,1634976628
xingyi,24.1877,102.817,58.33,81,100,3.22,CN,1634976629
urumqi,43.801,87.6005,34.75,93,90,2.24,CN,1634976630
sobolevo,54.4299,31.8996,44.22,73,92,16.33,RU,1634976631
hobart,-42.8794,147.3294,54.01,93,90,5.75,AU,1634976471
lamu,-2.2717,40.902,84.42,65,11,10.94,KE,1634976633
taltal,-25.4,-70.4833,54.09,85,2,2.08,CL,1634976634
bonavista,48.6499,-53.1147,54.12,96,99,11.3,CA,1634976635
mbigou,-1.9005,11.906,69.21,98,100,1.7,GA,1634976635
port-gentil,-0.7193,8.7815,77.09,84,100,8.41,GA,1634976636
montepuez,-13.1256,38.9997,89.74,27,4,6.17,MZ,1634976637
castrillon,43.3979,-6.7922,46.94,80,0,3.71,ES,1634976638
kieta,-6.2167,155.6333,80.6,82,4,5.35,PG,1634976639
chuy,-33.6971,-53.4616,53.22,86,92,2.62,UY,1634976640
thompson,55.7435,-97.8558,30.81,92,100,2.37,CA,1634976640
la ronge,55.1001,-105.2842,35.19,78,88,16.33,CA,1634976367
maniitsoq,65.4167,-52.9,23.63,53,13,8.1,GL,1634976642
dori,14.0354,-0.0345,87.85,39,99,9.13,BF,1634976643
khatanga,71.9667,102.5,13.91,88,100,15.05,RU,1634976643
ekibastuz,51.6667,75.3667,48.58,60,100,30.44,KZ,1634976644
arraial do cabo,-22.9661,-42.0278,68.09,87,0,13.44,BR,1634976645
hanna,51.6334,-111.9018,42.85,73,100,11.99,CA,1634976646
washington,47.5001,-120.5015,48.69,83,91,4.9,US,1634976607
svetlogorsk,52.6333,29.7333,45.18,73,95,16.49,BY,1634976647
te anau,-45.4167,167.7167,53.55,86,100,0.83,NZ,1634976648
hofn,64.2539,-15.2082,45.05,94,100,11.3,IS,1634976649
avarua,-21.2078,-159.775,69.85,68,76,8.05,CK,1634976510
dikson,73.5069,80.5464,11.28,87,100,14.41,RU,1634976650
bredasdorp,-34.5322,20.0403,63.28,61,24,22.79,ZA,1634976651
camocim,-2.9022,-40.8411,77.88,85,66,7.14,BR,1634976652
ignacio zaragoza,28.3833,-107.2167,49.71,56,1,4.07,MX,1634976653
rio gallegos,-51.6226,-69.2181,37.45,70,0,29.93,AR,1634976655
blagoyevo,63.3667,47.9167,31.26,93,100,6.31,RU,1634976656
goedereede,51.8175,3.9806,51.01,86,86,12.44,NL,1634976600
meghri,38.9029,46.2446,65.68,33,71,2.62,AM,1634976657
manadhoo,5.7667,73.3833,81.82,78,24,14.16,MV,1634976658
fonte boa,-2.4959,-66.2662,71.78,93,35,2.19,BR,1634976429
boguchany,58.3814,97.4531,40.73,57,99,11.27,RU,1634976660
sao joao da barra,-21.6403,-41.0511,69.06,84,23,5.61,BR,1634976661
sawakin,19.1059,37.3321,87.48,59,27,8.97,SD,1634976663
batasan,12.7667,120.7833,81.46,75,97,0.45,PH,1634976663
mpongwe,-13.5091,28.155,90.3,24,2,6.35,ZM,1634976664
sharan,54.8167,54,53.37,62,6,19.08,RU,1634976665
oranjemund,-28.55,16.4333,57.54,88,100,13.22,NA,1634976666
carnarvon,-24.8667,113.6333,78.87,57,0,19.57,AU,1634976668
shingu,33.7333,135.9833,58.96,56,0,7.47,JP,1634976669
jardim,-21.4803,-56.1381,76.05,52,51,4.52,BR,1634976454
airai,-8.9266,125.4092,71.83,64,74,1.41,TL,1634976670
ekpoma,6.7421,6.139,70.92,96,100,2.35,NG,1634976671
dauphin,51.1494,-100.0502,34.68,87,95,5.26,CA,1634976672
maturin,9.75,-63.1767,70.84,99,62,4.09,VE,1634976669
qui nhon,13.7667,109.2333,76.73,94,100,9.8,VN,1634976673
port elizabeth,-33.918,25.5701,69.1,42,100,18.28,ZA,1634976674
caravelas,-17.7125,-39.2481,73.47,87,100,6.6,BR,1634976462
aswan,24.0934,32.907,83.26,26,0,12.88,EG,1634976498
verkh-usugli,52.7,115.1667,39.42,65,5,0.58,RU,1634976676
diego de almagro,-26.3667,-70.05,48.36,64,1,1.07,CL,1634976677
paragominas,-2.9667,-47.4833,72.54,96,100,2.15,BR,1634976678
kupang,-10.1667,123.5833,90.18,58,40,11.5,ID,1634976679
puerto escondido,15.85,-97.0667,77.49,81,100,3.87,MX,1634976680
majitha,31.7583,74.9544,84.09,54,75,13.8,IN,1634976681
pringsewu,-5.3582,104.9744,87.04,64,97,4.76,ID,1634976681
sirhind,30.6456,76.3825,87.85,28,0,13.04,IN,1634976682
havre-saint-pierre,50.2334,-63.5986,44.96,100,90,11.5,CA,1634976684
tavistock,50.5494,-4.1442,53.71,77,100,9.44,GB,1634976685
tierralta,8.1736,-76.0592,73.94,95,99,3.18,CO,1634976685
turukhansk,65.8167,87.9833,31.71,84,100,17.05,RU,1634976686
guerrero negro,27.9769,-114.0611,65.32,84,3,13.51,MX,1634976687
excelsior springs,39.3392,-94.2261,50.59,66,1,5.75,US,1634976688
severo-kurilsk,50.6789,156.125,38.12,83,32,10.07,RU,1634976689
huarmey,-10.0681,-78.1522,62.26,88,45,7.78,PE,1634976690
chernyakhovsk,54.6335,21.8156,46.44,78,99,14,RU,1634976690
durban,-29.8579,31.0292,79.92,74,30,4,ZA,1634976501
maceio,-9.6658,-35.7353,76.44,100,20,4.61,BR,1634976692
petatlan,17.5167,-101.2667,74.55,94,100,1.45,MX,1634976693
lianran,24.9227,102.485,61.5,74,99,3.56,CN,1634976694
dalhousie,32.5333,75.9833,60.03,46,100,4.88,IN,1634976694
mikhaylovka,50.06,43.2379,61.66,53,83,9.06,RU,1634976696
victor harbor,-35.5667,138.6167,63.91,76,1,5.01,AU,1634976697
srednekolymsk,67.45,153.6833,-9.45,98,63,1.57,RU,1634976697
glendive,47.1053,-104.7125,42.49,88,20,5.01,US,1634976698
aklavik,68.2191,-135.0107,22.33,91,45,4.9,CA,1634976699
san quintin,30.4833,-115.95,59.43,90,25,11.16,MX,1634976700
tongren,27.7172,109.1853,63.55,51,15,5.3,CN,1634976701
comodoro rivadavia,-45.8667,-67.5,51.66,37,20,21.85,AR,1634976701
novyy urengoy,66.0833,76.6333,30.31,88,86,13.29,RU,1634976702
lukiv,51.0521,25.4006,46.18,63,28,19.84,UA,1634976703
moree,-29.4667,149.85,88.3,14,0,12.06,AU,1634976704
siparia,10.1333,-61.5,76.86,88,96,11.92,TT,1634976705
ancud,-41.8697,-73.8203,47.43,90,100,11.5,CL,1634976705
dunedin,-45.8742,170.5036,53.8,80,96,5.99,NZ,1634976706
hasaki,35.7333,140.8333,59.4,46,5,19.17,JP,1634976707
ilebo,-4.3167,20.5833,88.12,54,40,1.01,CD,1634976708
sitka,57.0531,-135.33,51.69,54,90,18.41,US,1634976709
darab,28.7519,54.5444,78.06,25,0,5.61,IR,1634976710
townsville,-19.25,146.8,81.48,69,19,9.22,AU,1634976710
klaksvik,62.2266,-6.589,49.12,94,100,32.01,FO,1634976711
mulchen,-37.7167,-72.2333,40.21,93,18,3.27,CL,1634976712
okhotsk,59.3833,143.3,20.75,77,3,8.32,RU,1634976713
foz,43.5692,-7.2544,53.92,85,9,4.56,ES,1634976714
derzhavinsk,51.1,66.3167,54.52,50,11,26.08,KZ,1634976715
anadyr,64.75,177.4833,7.3,85,40,11.18,RU,1634976716
palafrugell,41.9174,3.1631,61.27,52,27,5.99,ES,1634976718
isangel,-19.55,169.2667,76.41,84,74,9.01,VU,1634976719
san cristobal,7.7669,-72.225,65.08,94,33,1.59,VE,1634976719
luebo,-5.35,21.4167,87.64,53,37,1.61,CD,1634976720
poya,-21.35,165.15,73.17,85,11,7.38,NC,1634976721
ubinskoye,55.3068,79.6802,39.52,87,100,25.34,RU,1634976722
amahai,-3.3333,128.9167,81.97,78,99,5.06,ID,1634976723
gorom-gorom,14.4439,-0.2361,88.84,38,79,12.21,BF,1634976724
saint-leu,-21.15,55.2833,85.96,78,13,5.21,RE,1634976725
labuhan,-6.8844,112.2051,87.85,59,24,13.24,ID,1634976726
cockburn town,21.4612,-71.1419,83.08,70,61,20.24,TC,1634976727
siloam springs,36.1881,-94.5405,62.8,59,90,10.36,US,1634976714
vaxjo,56.8777,14.8091,40.71,81,0,8.05,SE,1634976728
manokwari,-0.8667,134.0833,82.06,79,45,9.91,ID,1634976729
san patricio,28.017,-97.5169,78.89,85,95,7.16,US,1634976730
dum duma,27.5667,95.5667,85.89,67,5,1.14,IN,1634976731
sorong,-0.8833,131.25,83.62,70,100,0.74,ID,1634976732
englehart,47.8169,-79.8664,28.89,84,21,3.44,CA,1634976733
mongo,12.1844,18.693,88.48,25,12,3.38,TD,1634976734
meulaboh,4.1363,96.1285,84.07,73,84,5.57,ID,1634976735
kirkuk,35.4681,44.3922,78.44,17,0,7.29,IQ,1634976735
svetlaya,46.5389,138.3297,47.55,63,2,6.87,RU,1634976736
iida,35.5197,137.8207,55.85,73,3,3.85,JP,1634976738
godhra,22.75,73.6333,85.96,44,2,7.58,IN,1634976738
bayangol,50.6977,103.4656,44.71,39,16,0.38,RU,1634976736
stara vyzhivka,51.4376,24.44,44.04,64,100,17,UA,1634976740
alofi,-19.0595,-169.9187,74.3,66,100,15.46,NU,1634976741
tiksi,71.6872,128.8694,2.75,98,100,1.95,RU,1634976741
wiang sa,8.6359,99.3666,88.79,76,100,2.48,TH,1634976738
muncar,-8.4333,114.3333,85.55,62,97,8.63,ID,1634976744
coquimbo,-29.9533,-71.3436,55.13,87,90,0,CL,1634976725
luderitz,-26.6481,15.1594,60.42,64,100,4.94,NA,1634976745
varkkallai,8.7341,76.7067,83.98,76,80,8.97,IN,1634976746
mutoko,-17.397,32.2268,88.84,23,9,4.09,ZW,1634976747
port lincoln,-34.7333,135.8667,57.36,61,3,16.71,AU,1634976748
alappuzha,9.49,76.3264,83.59,74,100,8.23,IN,1634976749
andreyevo,55.9465,41.1505,45.93,68,53,12.62,RU,1634976750
ixtapa,20.7,-105.2,75.6,96,97,2.04,MX,1634976751
los cedrales,-25.65,-54.7,73.69,92,91,1.7,PY,1634976752
spirit river,55.7833,-118.8361,37.74,84,100,3.27,CA,1634976753
samarai,-10.6167,150.6667,81.3,79,100,13.02,PG,1634976753
tanete,-3.9443,119.7848,88.77,57,95,4.23,ID,1634976754
partenit,44.578,34.3446,63.21,64,100,10.8,UA,1634976755
tiznit,29.5833,-9.5,63.03,68,0,1.72,MA,1634976756
high prairie,55.4334,-116.4858,41.02,70,100,7.34,CA,1634976757
songjianghe,42.1859,127.479,42.22,56,0,2.01,CN,1634976757
provideniya,64.3833,-173.3,25.63,76,100,7.43,RU,1634976758
general roca,-39.0333,-67.5833,52.63,43,7,20.18,AR,1634976759
yulara,-25.2406,130.9889,85.84,20,0,13.8,AU,1634976760
uren,57.4552,45.7852,44.46,73,100,12.19,RU,1634976761
turka,49.1541,23.0297,46.26,62,26,11.52,UA,1634976762
otradnoye,59.7775,30.8181,42.04,96,100,5.91,RU,1634976763
necochea,-38.5473,-58.7368,45.03,92,85,4.03,AR,1634976764
jiayuguan,39.8167,98.3,55.74,26,2,11.32,CN,1634976764
kayseri,38.737,35.4968,59.02,29,0,0,TR,1634976765
pittsfield,42.4501,-73.2454,43.79,89,75,6.91,US,1634976766
siavonga,-16.5382,28.7088,91.65,34,4,1.45,ZM,1634976767
beloha,-25.1667,45.05,84.43,38,41,4.05,MG,1634976768
rorvik,64.8621,11.2373,33.91,100,40,2.3,NO,1634976768
roald,62.5833,6.1333,42.94,87,75,11.5,NO,1634976769
hatton,6.8916,80.5955,73.24,65,63,3.47,LK,1634976770
college,64.8569,-147.8028,31.59,88,75,0,US,1634976771
port macquarie,-31.4333,152.9167,76.96,88,58,11.32,AU,1634976772
bukachacha,52.9833,116.9167,41.59,60,11,3.13,RU,1634976773
burnie,-41.0667,145.9167,53.94,65,100,7.14,AU,1634976773
high level,58.5169,-117.136,40.66,56,100,8.16,CA,1634976774
pacific grove,36.6177,-121.9166,57.15,90,75,1.01,US,1634976610
chapais,49.7834,-74.8492,29.98,92,99,3.31,CA,1634976776
sao filipe,14.8961,-24.4956,78.71,74,0,4.59,CV,1634976777
sakakah,29.9697,40.2064,78.33,26,0,7.09,SA,1634976778
wheatley,51.7473,-1.1394,49.91,90,75,4.61,GB,1634976779
mugur-aksy,50.35,90.5,34.56,72,67,3.02,RU,1634976780
hamilton,39.1834,-84.5333,52.57,95,90,1.99,US,1634976531
chihuahua,28.5,-106,61.29,55,0,6.33,MX,1634976523
arteaga,18.4667,-102.4167,63.91,99,100,2.21,MX,1634976782
esperance,-33.8667,121.9,62.74,55,1,19.44,AU,1634976783
puerto leguizamo,-0.1934,-74.7819,71.22,99,44,2.24,CO,1634976784
casa nova,-9.4167,-41.1333,76.98,76,96,15.26,BR,1634976785
qasigiannguit,68.8193,-51.1922,19.65,94,100,6.58,GL,1634976786
racine,42.7495,-88.0751,42.48,87,100,0,US,1634976787
verkhoyansk,67.5447,133.385,2.48,100,73,0.69,RU,1634976788
palaikastron,35.2,26.25,69.75,60,0,7.61,GR,1634976789
mount gambier,-37.8333,140.7667,53.89,71,40,9.08,AU,1634976789
bosaso,11.2842,49.1816,86.32,41,32,9.44,SO,1634976790
vanavara,60.34,102.2797,38.91,64,85,12.1,RU,1634976791
shache,38.4167,77.2406,60.15,13,100,12.21,CN,1634976792
borovichi,58.3878,33.9155,43.02,75,15,9.78,RU,1634976793
whitehorse,60.7161,-135.0538,39.31,60,100,15.99,CA,1634976793
praya,14.9215,-23.5087,77.54,78,0,13.8,CV,1634976795
mora,11.0461,14.1401,86.76,47,83,0.6,CM,1634976796
abu samrah,35.3029,37.1841,73.87,31,0,3.44,SY,1634976797
pevek,69.7008,170.3133,12.2,93,100,5.64,RU,1634976798
warwick,41.7001,-71.4162,54.45,71,90,8.05,US,1634976619
takoradi,4.8845,-1.7554,78.46,83,100,3.96,GH,1634976799
mountain home,43.133,-115.6912,45.79,100,75,3.44,US,1634976557
aldan,58.6031,125.3894,35.19,81,97,10.96,RU,1634976801
forotic,45.2303,21.5875,52.32,70,100,8.05,RO,1634976801
sanghar,26.0466,68.9481,89.67,14,0,5.3,PK,1634976802
upernavik,72.7868,-56.1549,19.58,89,100,12.82,GL,1634976803
sibu,2.3,111.8167,81.19,81,96,3.94,MY,1634976804
zhanakorgan,43.9098,67.2495,53.69,29,15,1.61,KZ,1634976805
ilulissat,69.2167,-51.1,19.42,73,75,21.85,GL,1634976806
ambunti,-4.2365,142.8448,81.84,77,78,2.62,PG,1634976807
hovd,48.0056,91.6419,48.6,26,100,3.22,MN,1634976808
codrington,-38.2667,141.9667,53.42,77,91,13.35,AU,1634976809
gobabis,-22.45,18.9667,72.52,9,0,10.27,NA,1634976809
bardiyah,31.7561,25.0865,70.18,56,1,0.56,LY,1634976810
saiha,22.4833,92.9667,85.44,36,6,4.68,IN,1634976811
pitimbu,-7.4706,-34.8086,75.79,79,20,10.09,BR,1634976812
doha,25.2867,51.5333,91.38,35,0,9.22,QA,1634976813
jerome,42.7241,-114.5186,47.75,81,1,6.91,US,1634976813
kaihua,23.3687,104.28,59.83,81,99,5.26,CN,1634976814
beringovskiy,63.05,179.3167,13.26,80,99,12.37,RU,1634976815
quimper,48,-4.1,49.6,100,90,3.44,FR,1634976816
palmer,42.1584,-72.3287,53.2,68,20,0,US,1634976817
tuatapere,-46.1333,167.6833,53.24,82,100,1.99,NZ,1634976817
puerto penasco,31.3167,-113.5333,75.97,54,0,3.44,MX,1634976756
savinka,50.0785,47.0994,62.04,57,97,11.36,RU,1634976819
ostrovnoy,68.0531,39.5131,33.85,66,100,21.14,RU,1634976820
barcelos,41.5388,-8.6151,58.84,71,70,4.41,PT,1634976821
grand gaube,-20.0064,57.6608,79.38,68,44,10,MU,1634976822
novo aripuana,-5.1206,-60.3797,74.41,87,100,2.06,BR,1634976823
okato,-39.2,173.8833,58.42,69,100,12.66,NZ,1634976824
panelas,-8.6636,-36.0058,67.86,94,41,3.51,BR,1634976825
carroll,39.5501,-77.0164,56.46,82,100,4.12,US,1634976826
sur,22.5667,59.5289,86.59,55,0,9.71,OM,1634976827
sahbuz,39.4072,45.5739,55,24,14,4.9,AZ,1634976828
mayo,38.8876,-76.5119,59.11,80,90,0,US,1634976829
kargil,34.5667,76.1,29.95,90,100,7.63,IN,1634976830
antalaha,-14.9003,50.2788,82.08,69,23,7.85,MG,1634976831
cedar falls,42.5278,-92.4455,34.65,79,0,1.99,US,1634976832
najran,17.4924,44.1277,79.72,18,55,12.84,SA,1634976833
belyy yar,53.6039,91.3903,44.49,49,0,11.18,RU,1634976834
sistranda,63.7256,8.834,44.91,58,95,19.84,NO,1634976835
alice springs,-23.7,133.8833,87.35,18,15,18.41,AU,1634976758
markova,48.6758,24.4138,49.59,53,44,10.31,UA,1634976836
sadiqabad,28.3062,70.1307,92.71,18,0,10.36,PK,1634976837
makat,47.6469,53.3463,60.94,62,100,17.02,KZ,1634976838
hay river,60.8156,-115.7999,41.36,64,100,11.12,CA,1634976587
